2020-08-14T00:00:00L11108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第10表  家庭住宅及主要設備概況依可支配所得按戶數五等分位分,Table 10. Household Housing and Household Facilities by Five Equal Divisions,,,,,,
,,,,of Households according to Disposable Income,,,
(19)烘衣機,12.81342442,5.6429718518,8.0763630307,11.386551337,16.011146988,22.950083091,(19)Drier
(20)空氣清淨機,21.395544925,5.8054673024,13.166714187,19.204325254,27.726531364,41.074675254,(20)Air-clean machine
(21)濾水器,38.23993283,19.43212564,29.492468265,37.189582448,46.421583029,58.663893077,(21)Water filter machine
(22)吸塵器,48.75179381,21.242365458,37.398935159,51.462851126,60.201448126,73.453355041,(22)Vacuum cleaner
(23)熱水器,99.493614977,98.408211303,99.477500372,99.757558788,99.851231094,99.973573055,(23)Geyser
(24)開飲機,39.894069408,33.681780966,39.528580758,41.022929982,41.993520027,43.243533389,(24)Hot-warm water fountain
(25)微波爐,43.144800826,23.544054386,38.553945859,43.073172083,51.513843087,59.038979619,(25)Microwave oven
(26)報紙,9.34789598,6.0025458832,7.6711812745,9.0996348052,10.673537397,13.292578283,(26)Newspaper
(27)期刊雜誌,3.2538767107,0.4202912677,1.2759311152,2.4280569813,3.6584894122,8.4866117821,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,2.Average No. per hunderd households
(1)彩色電視機,151.80517343,124.52959529,137.00204071,153.1712762,163.92065395,180.40228462,(1)Color TV
一般彩色電視機,9.3217113026,15.675628008,9.3424260048,9.8798012851,6.701066068,5.0096376154,Non-LCD TV
液晶、電漿電視,142.48346213,108.85396728,127.65961471,143.29147492,157.21958788,175.392647,LCD、PDP TV
(2)數位影音光碟機,15.331850088,5.7819818299,10.638429033,14.305790332,18.545392429,27.387649914,(2)DVD player
(3)攝影機,3.8599246841,0.9075196103,1.623831877,3.0062112346,4.8833232097,8.8787346164,(3)Movies camera
(4)音響,21.459672873,10.034326958,15.456933279,19.283219166,24.377941232,38.145934179,(4)Stereo
(5)鋼琴(含電子琴),7.9829340306,1.9656450953,3.8264313236,5.9221154419,9.0116331574,19.188838721,(5)Piano
(6)數位相機,18.811613272,4.1081133178,9.8597935077,16.714921018,24.264910031,39.110316868,(6)Digital camera
(7)電視遊樂器,8.1124123795,1.0559147637,3.3593472595,6.7217097179,11.120988313,18.30409601,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),87.380296002,74.561426932,86.113515095,89.400937325,92.439244824,94.386351824,(8)Cable TV(MOD included)
(9)家用電腦,101.53027093,28.984578422,68.352416837,101.51057979,130.45887717,178.34485849,(9)Personal computer
(10)電話機,90.786175929,83.352208986,86.244062637,91.133398771,93.98121126,99.219993161,(10)Telephone
(11)行動電話,244.28104156,119.67274865,193.53420849,253.72249325,304.78144453,349.69425252,(11)Cell phone
(12)汽車,72.730754056,28.474483516,52.643854201,73.640231509,90.045146928,118.85002773,(12)Sedan vehicle
(13)機車,154.56662405,90.863703629,130.07496547,166.47057724,189.12075685,196.30309315,(13)Motorcycle
(14)電磁爐,32.996890591,18.38028716,26.223853866,34.297442363,39.216783836,46.866077791,(14)Electro-magnetic oven
(15)冷暖氣機,245.16735569,157.05183503,209.39790147,246.24032247,282.12070794,331.02596239,(15)Air conditioner
(16)除濕機,48.253005153,19.969552017,33.607275317,45.149253894,58.972471996,83.56645233,(16)Dehumidifier
(17)洗衣機,101.72987293,96.689436818,100.29341655,101.67712043,103.24110892,106.74827908,(17)Washing machine
(18)烘衣機,12.875590075,5.6429718518,8.0763630307,11.478449895,16.041728923,23.138430799,(18)Drier
(19)空氣清淨機,25.932455001,6.1788859167,14.305545893,21.822807793,32.592453672,54.762565226,(19)Air-clean machine
(20)濾水器,38.7570546,19.490391632,29.513016666,37.505672841,46.832028807,60.444150639,(20)Water filter machine
(21)吸塵器,54.515720757,21.792878078,39.010960247,55.050257394,67.816520243,88.907968138,(21)Vacuum cleaner
(22)熱水器,107.91342947,101.36625389,104.46388833,107.22116406,110.28661855,116.22921777,(22)Geyser
(23)開飲機,40.625799691,33.73475355,39.814788153,41.778336567,43.084530297,44.716587548,(23)Hot-warm water fountain
(24)微波爐,43.417987003,23.544054386,38.553945859,43.312255757,51.84418547,59.835484145,(24)Microwave oven
(25)報紙,9.5015097238,6.0718868838,7.7738143079,9.1819173995,10.877230862,13.602696818,(25)Newspaper
(26)期刊雜誌,3.6961316818,0.5054802463,1.4237409266,2.5687778713,4.0876928925,9.8949629242,(26)Magazine
