2020-08-14T00:00:00L09108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分,Table 8. Household Housing and Household Facilities by Areas,,,,,,,
,,,,,,,,
民 國 108 年,,,,,2 0 1 9,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分(續一),Table 8. Household Housing and Household Facilities by Areas (Cont.1),,,,,,,
,,,,,,,,
民 國 108 年,,,,,2 0 1 9,,,
,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,
,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,
,County,County,County,County,County,County,County,
,,,,,,,,
家庭戶數,169900,197610,190098,390815,178590,241342,183302,No. of households
平均每戶人數,2.96,3.44,2.95,3.02,2.94,2.77,2.71,No. of persons per household
平均每戶成年人數,2.49,2.77,2.41,2.51,2.39,2.37,2.26,No. of adults per household
平均每戶就業人數,1.26,1.61,1.27,1.48,1.4,1.27,1.21,No. of persons employed per household
平均每戶所得收入者人數,1.68,1.94,1.6,1.69,1.59,1.54,1.47,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling
(1)自有(戶內經常居住成員所擁有),84.247684538,92.228478497,89.167223026,90.605157188,86.877760356,85.550469106,89.563417179,(1)Self-owned (by usually living             member of this household)
(2)不住在一起的配偶、父母或子女所擁有,6.2060881253,3.4005303941,4.0858250657,2.2073379361,3.7220490345,7.7418115626,4.9658149498,"(2)Owned by spouse, parents              or children not living together"
(3)租押,6.8931794178,3.2547715537,5.0061288709,5.0252255244,5.9880874159,2.5492001616,3.0680071963,(3)Rented
(4)其他(含配住及借用),2.6530479188,1.1162195553,1.7408230377,2.1622793511,3.4121031936,4.1585191703,2.4027606747,(4)Allotted and others
2.住宅用途,,,,,,,,2.By usage of dwelling
(1)專用,94.037341267,93.098004927,96.196134063,94.518499787,92.233171821,92.662283245,95.924315625,(1)Independent
(2)併用,5.962658733,6.9019950729,3.8038659373,5.4815002132,7.7668281794,7.3377167548,4.0756843752,(2)Connected
3.建築式樣,,,,,,,,3.By style of building
(1)平房,9.7904914335,5.5961036172,17.237543876,20.408136795,23.823665423,25.150522101,28.568851997,(1)One story
(2)二～三層樓,73.538640588,52.660214188,69.306030055,60.385363294,66.743389455,64.644266076,66.421917875,(2)Two or three stories
(3)四～五層樓,10.985073479,23.649013776,9.4235628927,15.664791436,6.1643901706,8.7024349303,4.4258632128,(3)Four or five stories
(4)六層樓以上,5.6857944998,18.094668418,4.0328631764,3.5417084749,3.2685549518,1.502776893,0.5833669151,"(4)Apartment, six stories or over"
4.具有自來水設備,97.204214326,84.932609459,82.830137532,96.070631402,90.567351625,100,99.239633311,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,61.135798245,73.79546493,55.223257958,62.104825379,65.855629158,53.717959543,64.05093128,(1)Self-owned
(2)租借停車位,8.8925245699,5.7568030484,2.7763406047,3.8557876539,8.2861183326,4.7953573724,4.0028477298,(2)Rented
(3)無停車位,29.971677185,20.447732021,42.000401437,34.039386967,25.858252509,41.486683085,31.94622099,(3)None
6.平均每戶建坪(坪),49.363987964,61.175164682,56.705547382,53.71735381,55.83816468,49.864035653,46.452814883,6.Average space per household(pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,97.123751485,98.814091911,99.051029872,99.461812732,96.775334077,99.242815887,99.039214531,(1)Color TV
一般彩色電視機,10.709505712,6.2273556221,6.5623318966,16.207136305,16.839354374,13.742063053,14.067649351,Non-LCD TV
液晶、電漿電視,89.649966313,96.20676792,94.910259814,89.896457675,85.872745582,93.336529339,90.084908543,LCD、PDP TV
(2)數位影音光碟機,7.436895223,16.120863586,10.681142901,5.128739981,8.7311698432,8.7315209975,6.9378965081,(2)DVD player
(3)攝影機,3.4846749994,3.5276528799,1.9355923877,1.0879389105,1.5738342511,0.4877729174,0.9789630585,(3)Movies camera
(4)音響,12.429128994,22.83439482,18.988499263,12.743514229,16.336546847,14.691042889,12.188835541,(4)Stereo
(5)鋼琴(含電子琴),6.0913804514,12.430749699,6.4785758741,5.5774180922,4.921046768,4.1062404893,2.7683101959,(5)Piano
(6)數位相機,7.76040372,21.668651213,11.081836983,11.784666723,8.6393615026,10.243978089,5.5566603693,(6)Digital camera
(7)電視遊樂器,3.7310780239,11.389315582,3.7905870116,3.2434654355,0.9906331466,0.9840749315,1.7873826173,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),78.182558792,89.470101505,84.096410721,74.930249339,72.728224277,69.400000766,66.699767395,(8)Cable TV(MOD included)
(9)家用電腦,57.263179782,72.904591507,58.843337492,56.0639289,57.006210127,46.828379358,35.976778076,(9)Personal computer
(10)電話機,85.840874622,86.191925168,89.637099389,92.642625039,89.711037146,91.017906416,91.928850935,(10)Telephone
(11)行動電話,95.383718646,96.031603124,95.923676861,89.65260337,94.111210292,87.672082625,85.312447265,(11)Cell phone
(12)連網(使用電腦或其他設備),84.471518125,87.734559307,87.17321155,80.74007719,84.953927169,72.323335903,70.389368619,(12)Internet facility
,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分(續二),Table 8. Household Housing and Household Facilities by Areas (Cont.2),,,,,,,
,,,,,,,,
民 國 108 年,,,,,2 0 1 9,,,
,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,County,County,County,County,City,City,City,
,,,,,,,,
家庭戶數,288710,83149.999999,126329,40946.999999,153933,166833,100209,No. of households
平均每戶人數,2.87,2.51,2.51,2.6,2.91,3.18,2.93,No. of persons per household
平均每戶成年人數,2.31,2.03,2.14,2.18,2.47,2.5,2.46,No. of adults per household
平均每戶就業人數,1.22,1.05,1.07,1.06,1.21,1.45,1.25,No. of persons employed per household
平均每戶所得收入者人數,1.6,1.49,1.51,1.5,1.73,1.84,1.64,No. of income recipients per household
一、家庭住宅概況(％),,,,,,,,A.Housing (%)
1.住宅所有權,,,,,,,,1.By tenure of dwelling
(1)自有(戶內經常居住成員所擁有),82.628755669,80.877278203,85.48394372,86.96678749,87.456144645,83.729420409,86.14796793,(1)Self-owned (by usually living             member of this household)
(2)不住在一起的配偶、父母或子女所擁有,6.1844297517,6.4955390567,4.2339588673,5.5146957536,3.8294648736,6.6123284496,1.9096807158,"(2)Owned by spouse, parents              or children not living together"
(3)租押,5.5556979561,5.6519529666,6.313139794,2.5065549335,4.8158795411,7.6779343472,9.0184678043,(3)Rented
(4)其他(含配住及借用),5.6311166232,6.975229774,3.9689576189,5.0119618234,3.8985109402,1.9803167942,2.9238835496,(4)Allotted and others
2.住宅用途,,,,,,,,2.By usage of dwelling
(1)專用,96.991156506,96.799859458,96.547489715,97.978035382,98.697309706,95.672400857,94.506414523,(1)Independent
(2)併用,3.0088434941,3.2001405424,3.4525102851,2.0219646177,1.3026902937,4.3275991429,5.4935854774,(2)Connected
3.建築式樣,,,,,,,,3.By style of building
(1)平房,18.358844238,37.289254653,27.607352301,17.989837262,6.326227339,1.9768465844,7.1816627852,(1)One story
(2)二～三層樓,68.485291993,56.338807574,61.274196409,74.95030645,18.978387308,42.743401308,56.620374159,(2)Two or three stories
(3)四～五層樓,8.7357717624,3.1768563761,6.854685815,5.5434688403,52.413418066,22.559668533,21.315339289,(3)Four or five stories
(4)六層樓以上,4.4200920072,3.1950813964,4.2637654741,1.5163874486,22.281967286,32.720083574,14.882623767,"(4)Apartment, six stories or over"
4.具有自來水設備,59.561258944,92.754188209,88.573224771,100,98.470163623,99.678880545,100,4.Piped water equipment
5.有車家庭停車位情形,,,,,,,,5.Parking lot
(1)自有停車位,73.482246237,58.784733424,58.786442426,50.340917687,42.989459973,65.182868288,51.44656696,(1)Self-owned
(2)租借停車位,8.2934474097,6.3941832719,4.293694585,1.5804239109,9.6645159381,20.271276187,7.4339828183,(2)Rented
(3)無停車位,18.224306353,34.821083304,36.919862989,48.078658402,47.346024089,14.545855525,41.119450222,(3)None
6.平均每戶建坪(坪),48.617324524,46.025496395,45.77480265,48.00926063,33.57289728,49.495697792,55.59741302,6.Average space per household(pin)
二、家庭主要設備,,,,,,,,B.Main household equipment (%)
1.普及率(％),,,,,,,,1.Percentage of household with equip.
(1)彩色電視機,98.562792471,99.288549844,97.169657946,98.488407675,99.370666217,97.66545419,98.388868942,(1)Color TV
一般彩色電視機,16.043333882,12.180687633,8.5771603087,3.9961167628,5.6726139784,7.282810107,9.9578664238,Non-LCD TV
液晶、電漿電視,87.475578971,92.065240167,90.881487763,96.471221589,95.641232442,94.711622766,92.597015763,LCD、PDP TV
(2)數位影音光碟機,2.566152498,2.5759929523,5.3989272429,0.9688206393,16.160131797,32.299635044,7.0901687626,(2)DVD player
(3)攝影機,1.4167606359,1.4191431091,1.7181041061,1.9681521041,2.2867057745,6.3200829461,3.2142216028,(3)Movies camera
(4)音響,10.572118542,11.070555331,11.039279968,10.984540392,21.915518276,26.308810013,14.522776582,(4)Stereo
(5)鋼琴(含電子琴),5.2846857303,5.3364019212,7.0805741529,1.5941431442,5.4625361217,19.695124255,7.3515071113,(5)Piano
(6)數位相機,6.542482695,8.3550430597,7.9114608086,3.0243744499,13.633454412,30.37507757,15.506268286,(6)Digital camera
(7)電視遊樂器,1.6924264907,1.4193883426,2.2072267075,3.5649450389,7.1059460692,18.136019228,4.4864947302,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),80.336555836,81.108347157,79.13915656,88.129270207,92.406658071,80.860519466,82.682674491,(8)Cable TV(MOD included)
(9)家用電腦,49.179604986,38.041928145,43.516308585,35.357351623,57.328135248,79.096559004,63.224425481,(9)Personal computer
(10)電話機,79.697219655,67.068073852,78.644148056,94.92335125,89.082422958,81.558603989,92.612899455,(10)Telephone
(11)行動電話,91.442424396,94.21576375,91.94939458,86.081376244,94.522855846,96.616866061,96.462166065,(11)Cell phone
(12)連網(使用電腦或其他設備),77.68652145,79.014248409,82.476707966,73.221664252,87.507646904,90.408633303,88.974697409,(12)Internet facility
,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分(續三),Table 8. Household Housing and Household Facilities by Areas (Cont.3),,,,,,,
,,,,,,,,
民 國 108 年,,,,,2 0 1 9,,,
,總 平 均,新 北 市,臺 北 市,桃 園 市,臺 中 市,臺 南 市,高 雄 市,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,
,average,City,City,City,City,City,City,
,,,,,,,,
(13)汽車,60.818400732,47.266167445,51.178967521,74.029544185,72.074499583,64.772385139,60.713855738,(13)Sedan vehicle
(14)機車,84.150169827,80.443761328,63.274131535,86.57570603,89.99653721,92.671353348,91.607131939,(14)Motorcycle
(15)電磁爐,32.573092497,43.025667771,43.434871383,37.761705733,34.047456931,22.692370576,25.282778902,(15)Electro-magnetic oven
(16)冷暖氣機,94.705461301,99.522966369,98.450065421,95.858223851,91.867359433,92.84068361,96.668230525,(16)Air conditioner
(17)除濕機,38.500506554,55.665696563,61.516652545,57.042801981,29.669067434,19.786574576,15.843095481,(17)Dehumidifier
(18)洗衣機,98.700028602,99.881566772,98.753472421,98.743671932,98.546726592,97.597815427,98.083412861,(18)Washing machine
(19)烘衣機,12.81342442,14.594348437,17.910571755,23.05721076,11.449666817,4.7666140915,2.8232014431,(19)Drier
(20)空氣清淨機,21.395544925,25.200035869,30.881846707,22.826429477,24.957700737,17.290742597,21.680527983,(20)Air-clean machine
(21)濾水器,38.23993283,40.193693857,49.483206377,45.053402633,51.657383817,32.783957165,35.833945364,(21)Water filter machine
(22)吸塵器,48.75179381,58.031282682,61.580998913,54.653594385,53.654962128,40.559328236,44.248641628,(22)Vacuum cleaner
(23)熱水器,99.493614977,100,100,99.806562117,99.55822737,99.198320875,98.987261138,(23)Geyser
(24)開飲機,39.894069408,40.437128463,31.399290515,41.755823238,45.310725099,27.244908892,30.792197132,(24)Hot-warm water fountain
(25)微波爐,43.144800826,52.37522803,56.021996114,53.678909399,46.702707102,30.308408905,34.445178086,(25)Microwave oven
(26)報紙,9.34789598,7.5402239345,11.450441838,9.9033480423,11.898351277,9.6670867407,7.7383479602,(26)Newspaper
(27)期刊雜誌,3.2538767107,5.0114216791,5.7149800814,3.1574696183,2.148400343,2.844789393,2.4192589506,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hunderd households
(1)彩色電視機,151.80517343,145.38644564,146.82667334,154.98285776,151.64199709,152.76759542,161.54738031,(1)Color TV
一般彩色電視機,9.3217113026,4.2711534839,5.3372658757,6.9698827846,11.167499747,10.520032139,10.116375858,Non-LCD TV
液晶、電漿電視,142.48346213,141.11529216,141.48940746,148.01297498,140.47449735,142.24756328,151.43100446,LCD、PDP TV
(2)數位影音光碟機,15.331850088,22.274902864,23.494744798,17.064159218,16.355351063,8.9242599953,11.63992916,(2)DVD player
(3)攝影機,3.8599246841,4.6495989344,7.75173385,3.7546338092,5.1989235661,2.1130980634,2.4648944032,(3)Movies camera
(4)音響,21.459672873,30.260104452,29.516565536,22.833914764,24.305746361,12.513557494,15.258527982,(4)Stereo
(5)鋼琴(含電子琴),7.9829340306,4.7888392381,15.116429919,6.8008051468,9.8545400355,6.7123701252,7.9506363978,(5)Piano
(6)數位相機,18.811613272,24.534523695,30.092055163,15.337289131,22.405784154,13.563953217,14.038506482,(6)Digital camera
(7)電視遊樂器,8.1124123795,11.185869892,13.844938287,10.199642409,8.838234969,4.7894172236,4.9427126901,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),87.380296002,94.975966463,96.430798198,85.141458857,86.127436876,85.073794882,89.869812328,(8)Cable TV(MOD included)
(9)家用電腦,101.53027093,108.21498143,134.86334526,123.16246381,110.4955705,88.964737865,96.359615953,(9)Personal computer
(10)電話機,90.786175929,93.105224874,100.57533977,83.325772625,88.802264779,91.11093103,90.526243584,(10)Telephone
(11)行動電話,244.28104156,254.63835141,270.68182109,261.05976258,251.83529842,228.08976208,246.87816241,(11)Cell phone
(12)汽車,72.730754056,50.128470278,54.940739486,94.197809466,88.975109581,77.204439505,69.671947385,(12)Sedan vehicle
(13)機車,154.56662405,137.67448756,98.170930948,155.1775692,175.33684013,185.57745321,193.44869638,(13)Motorcycle
(14)電磁爐,32.996890591,43.064940536,43.98553685,38.429968903,34.697548729,23.29531133,25.504269825,(14)Electro-magnetic oven
(15)冷暖氣機,245.16735569,255.23529999,265.42882907,262.8627047,240.07482405,231.56742391,258.12785688,(15)Air conditioner
(16)除濕機,48.253005153,62.878847139,78.945679087,76.941533431,35.61469642,24.32247293,18.25969047,(16)Dehumidifier
(17)洗衣機,101.72987293,100.36733925,100.15162305,102.64392185,102.13998839,103.23115612,102.70805945,(17)Washing machine
(18)烘衣機,12.875590075,14.594348437,18.012418944,23.194394647,11.449666817,4.8354261052,2.8232014431,(18)Drier
(19)空氣清淨機,25.932455001,27.441781764,38.789011897,28.330344424,30.557537389,23.198164318,27.453419769,(19)Air-clean machine
(20)濾水器,38.7570546,40.315014494,50.32742586,45.789398489,52.309055692,33.524027896,36.414460106,(20)Water filter machine
(21)吸塵器,54.515720757,60.460884508,69.170959066,63.305321025,61.15752766,48.322879618,49.463740972,(21)Vacuum cleaner
(22)熱水器,107.91342947,101.370069,102.89473543,112.42259038,111.39111958,105.0360304,105.28964261,(22)Geyser
(23)開飲機,40.625799691,40.520018649,31.600069826,42.742774278,46.361764291,27.77849513,31.337755771,(23)Hot-warm water fountain
(24)微波爐,43.417987003,52.415272007,57.208466443,54.013305618,46.902640986,30.376157827,34.579573707,(24)Microwave oven
(25)報紙,9.5015097238,7.5402239345,11.797943776,10.031915278,12.04809026,9.7987257298,7.8267754387,(25)Newspaper
(26)期刊雜誌,3.6961316818,5.2549012928,7.1660217496,3.3625649919,2.8935241989,2.9122016449,2.6456417239,(26)Magazine
,,,,,,,,
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96 個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean ±1.96 standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
108年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,,
第8表  家庭住宅及主要設備概況按區域別分(續四),Table 8. Household Housing and Household Facilities by Areas (Cont.4),,,,,,,
,,,,,,,,
民 國 108 年,,,,,2 0 1 9,,,
,宜 蘭 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,
,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,
,County,County,County,County,County,County,County,
,,,,,,,,
(13)汽車,65.128790587,80.06257239,67.133196668,67.566667269,69.289088895,61.482578595,58.201503295,(13)Sedan vehicle
(14)機車,85.243893752,85.782824104,87.522528146,90.701646051,86.121319799,86.435788258,79.166295095,(14)Motorcycle
(15)電磁爐,33.483044169,27.769751653,23.615706218,22.088464028,24.133168425,28.20295138,19.781615048,(15)Electro-magnetic oven
(16)冷暖氣機,93.274520655,95.151105044,89.500463794,94.517559153,70.444514006,91.552606354,84.840039884,(16)Air conditioner
(17)除濕機,64.292711465,50.603666378,38.01505115,17.618927568,20.887080777,12.287674429,13.053818615,(17)Dehumidifier
(18)洗衣機,98.258171485,99.139538948,98.881517769,99.305160831,98.99762621,99.192855279,97.549403566,(18)Washing machine
(19)烘衣機,24.993525245,21.08269557,29.85084051,10.023223891,12.947862827,4.8724907108,7.6562915873,(19)Drier
(20)空氣清淨機,13.783038671,22.354183581,14.154093668,14.199227773,11.825512551,9.633849724,6.4855419352,(20)Air-clean machine
(21)濾水器,17.909063976,42.699469789,34.72548837,24.275750216,24.520685952,26.65897657,21.813021768,(21)Water filter machine
(22)吸塵器,45.590942809,51.729345425,37.39522874,33.143635457,34.609785639,32.871732899,22.962634992,(22)Vacuum cleaner
(23)熱水器,98.880375576,99.706668191,98.430815449,99.475743273,100,99.773776185,98.44027936,(23)Geyser
(24)開飲機,50.617420072,50.752741497,58.535677147,54.877177932,46.08842131,50.162048362,31.147622694,(24)Hot-warm water fountain
(25)微波爐,34.797282863,43.685363467,37.551018619,33.905126837,32.017061015,35.869503897,22.028013053,(25)Microwave oven
(26)報紙,7.734027213,7.9273638245,10.113704967,11.05117726,9.4022092854,9.2490303868,8.7785154145,(26)Newspaper
(27)期刊雜誌,0.8816099109,5.3023367108,2.1916449426,2.3109778315,0.9924809435,1.9032470185,0,(27)Magazine
"2.每百戶擁有數(台,輛,份)",,,,,,,,2.Average No. per hunderd households
(1)彩色電視機,171.16169863,166.19725312,155.46581304,150.51088092,141.49384255,152.40932321,144.08084426,(1)Color TV
一般彩色電視機,13.920566394,8.4734579228,7.8292737296,17.760422042,18.601003869,16.089542607,15.656263679,Non-LCD TV
液晶、電漿電視,157.24113224,157.7237952,147.63653932,132.75045888,122.89283869,136.31978061,128.42458058,LCD、PDP TV
(2)數位影音光碟機,7.7107270841,17.254108923,10.980542427,5.128739981,9.3988077257,8.9957421309,7.2029762188,(2)DVD player
(3)攝影機,4.3449484002,4.3889935881,2.2377659405,1.0879389105,1.5738342511,0.4877729174,0.9789630585,(3)Movies camera
(4)音響,12.429128994,24.524460719,20.493765315,12.743514229,17.051658453,14.691042889,12.804594033,(4)Stereo
(5)鋼琴(含電子琴),6.0913804514,12.725568179,6.8059178704,5.9067502545,4.921046768,4.1062404893,2.7683101959,(5)Piano
(6)數位相機,9.202613191,28.64606768,11.081836983,12.328874626,8.9691493513,10.962770576,6.1925822385,(6)Digital camera
(7)電視遊樂器,4.0227721869,12.235629899,3.7905870116,3.4103601297,1.2879286153,0.9840749315,2.0852632664,(7)Video game
(8)有線電視頻道設備(含多媒體隨選視訊),79.625180794,90.909117167,85.657861685,74.930249339,73.763329934,69.400000766,66.699767395,(8)Cable TV(MOD included)
(9)家用電腦,81.943181075,114.53173617,82.140650394,69.523123352,77.33924572,63.236544187,42.111568612,(9)Personal computer
(10)電話機,86.704334993,88.87473523,89.957411807,93.353498402,89.711037146,91.776990978,92.573476595,(10)Telephone
